ref_date,geo,fuel_type,vehicle_type,number_of_vehicles,year,month
2017-01-01,SAS,All zero-emission vehicles,Multi-purpose vehicles,3,2017,1
2017-01-01,SAS,All zero-emission vehicles,Vans,1,2017,1
2017-01-01,SAS,Electric,"Total, vehicle type",2,2017,1
2017-01-01,SAS,Electric,Passenger cars,2,2017,1
2017-01-01,SAS,Electric,Pickup trucks,0,2017,1
2017-01-01,SAS,Electric,Multi-purpose vehicles,0,2017,1
2017-01-01,SAS,Electric,Vans,0,2017,1
2017-01-01,SAS,Hybrid Electric,"Total, vehicle type",6,2017,1
2017-01-01,SAS,Hybrid Electric,Passenger cars,2,2017,1
2017-01-01,SAS,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,SAS,Hybrid Electric,Multi-purpose vehicles,3,2017,1
2017-01-01,SAS,Hybrid Electric,Vans,1,2017,1
2017-01-01,SAS,Hybrid Electric,"Total, vehicle type",71,2017,1
2017-01-01,SAS,Hybrid Electric,Passenger cars,53,2017,1
2017-01-01,SAS,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,SAS,Hybrid Electric,Multi-purpose vehicles,18,2017,1
2017-01-01,SAS,Hybrid Electric,Vans,0,2017,1
2017-01-01,SAS,Other,"Total, vehicle type",0,2017,1
2017-01-01,SAS,Other,Passenger cars,0,2017,1
2017-01-01,SAS,Other,Pickup trucks,0,2017,1
2017-01-01,SAS,Other,Multi-purpose vehicles,0,2017,1
2017-01-01,SAS,Other,Vans,0,2017,1
2017-01-01,BC,All fuel types,"Total, vehicle type",58219,2017,1
2017-01-01,BC,All fuel types,Passenger cars,18120,2017,1
2017-01-01,BC,All fuel types,Pickup trucks,11217,2017,1
2017-01-01,BC,All fuel types,Multi-purpose vehicles,25361,2017,1
2017-01-01,BC,All fuel types,Vans,3521,2017,1
2017-01-01,BC,Gas,"Total, vehicle type",53536,2017,1
2017-01-01,BC,Gas,Passenger cars,17038,2017,1
2017-01-01,BC,Gas,Pickup trucks,8992,2017,1
2017-01-01,BC,Gas,Multi-purpose vehicles,24358,2017,1
2017-01-01,BC,Gas,Vans,3148,2017,1
2017-01-01,BC,Diesel,"Total, vehicle type",2924,2017,1
2017-01-01,BC,Diesel,Passenger cars,56,2017,1
2017-01-01,BC,Diesel,Pickup trucks,2225,2017,1
2017-01-01,BC,Diesel,Multi-purpose vehicles,274,2017,1
2017-01-01,BC,Diesel,Vans,369,2017,1
2017-01-01,BC,All zero-emission vehicles,"Total, vehicle type",788,2017,1
