REF_DATE,DESC,VALUE,YEAR
2022-07-02,Other international movements,3037,2022
2022-07-09,Domestic movements,59644,2022
2022-07-09,Transborder movements,7513,2022
2022-07-09,Other international movements,3045,2022
2022-07-16,Domestic movements,55096,2022
2022-07-16,Transborder movements,7415,2022
2022-07-16,Other international movements,3074,2022
2022-07-23,Domestic movements,56473,2022
2022-07-23,Transborder movements,7583,2022
2022-07-23,Other international movements,3041,2022
2022-07-30,Domestic movements,52421,2022
2022-07-30,Transborder movements,7394,2022
2022-07-30,Other international movements,3148,2022
2022-08-06,Domestic movements,56923,2022
2022-08-06,Transborder movements,7517,2022
2022-08-06,Other international movements,3114,2022
2022-08-13,Domestic movements,57640,2022
2022-08-13,Transborder movements,7624,2022
2022-08-13,Other international movements,3100,2022
2022-08-20,Domestic movements,53576,2022
2022-08-20,Transborder movements,7510,2022
2022-08-20,Other international movements,3103,2022
2022-08-27,Domestic movements,53058,2022
2022-08-27,Transborder movements,7418,2022
2022-08-27,Other international movements,3081,2022
2022-09-03,Domestic movements,50920,2022
2022-09-03,Transborder movements,7445,2022
2022-09-03,Other international movements,3035,2022
2022-09-10,Domestic movements,49291,2022
2022-09-10,Transborder movements,7594,2022
2022-09-10,Other international movements,2909,2022
2022-09-17,Domestic movements,49039,2022
2022-09-17,Transborder movements,7505,2022
2022-09-17,Other international movements,2855,2022
2022-09-24,Domestic movements,51034,2022
2022-09-24,Transborder movements,7361,2022
2022-09-24,Other international movements,2835,2022
2022-10-01,Domestic movements,54529,2022
2022-10-01,Transborder movements,7328,2022
2022-10-01,Other international movements,2746,2022
2022-10-08,Domestic movements,47574,2022
2022-10-08,Transborder movements,7215,2022
2022-10-08,Other international movements,2737,2022
2022-10-15,Domestic movements,43827,2022
2022-10-15,Transborder movements,7385,2022
2022-10-15,Other international movements,2708,2022
2022-10-22,Domestic movements,46380,2022
2022-10-22,Transborder movements,7236,2022
2022-10-22,Other international movements,2740,2022
2022-10-29,Domestic movements,43717,2022
2022-10-29,Transborder movements,7046,2022
2022-10-29,Other international movements,2729,2022
2022-11-05,Domestic movements,39102,2022
2022-11-05,Transborder movements,7271,2022
2022-11-05,Other international movements,2948,2022
2022-11-12,Domestic movements,37431,2022
2022-11-12,Transborder movements,7392,2022
2022-11-12,Other international movements,3016,2022
2022-11-19,Domestic movements,40615,2022
2022-11-19,Transborder movements,6751,2022
2022-11-19,Other international movements,3009,2022
2022-11-26,Domestic movements,36413,2022
2022-11-26,Transborder movements,7157,2022
2022-11-26,Other international movements,3042,2022
2022-12-03,Domestic movements,36406,2022
2022-12-03,Transborder movements,7183,2022
2022-12-03,Other international movements,3199,2022
2022-12-10,Domestic movements,36059,2022
2022-12-10,Transborder movements,7094,2022
2022-12-10,Other international movements,3292,2022
2022-12-17,Domestic movements,27512,2022
2022-12-17,Transborder movements,6873,2022
2022-12-17,Other international movements,3624,2022
2022-12-24,Domestic movements,22765,2022
2022-12-24,Transborder movements,6521,2022
2022-12-24,Other international movements,3795,2022
2022-12-31,Domestic movements,29284,2022
2022-12-31,Transborder movements,6736,2022
2022-12-31,Other international movements,3830,2022
2023-01-07,Domestic movements,33129,2023
2023-01-07,Transborder movements,7130,2023
2023-01-07,Other international movements,3786,2023
2023-01-14,Domestic movements,33515,2023
2023-01-14,Transborder movements,6973,2023
2023-01-14,Other international movements,3563,2023
2023-01-21,Domestic movements,30622,2023
2023-01-21,Transborder movements,6735,2023
2023-01-21,Other international movements,3477,2023
2023-01-28,Domestic movements,36242,2023
2023-01-28,Transborder movements,6876,2023
2023-01-28,Other international movements,3516,2023
2023-02-04,Domestic movements,34930,2023
2023-02-04,Transborder movements,7128,2023
2023-02-04,Other international movements,3636,2023
2023-02-11,Domestic movements,39705,2023
2023-02-11,Transborder movements,7351,2023
2023-02-11,Other international movements,3644,2023
2023-02-18,Domestic movements,32996,2023
2023-02-18,Transborder movements,7195,2023
2023-02-18,Other international movements,3752,2023
2023-02-25,Domestic movements,35070,2023
2023-02-25,Transborder movements,7271,2023
2023-02-25,Other international movements,3775,2023
2023-03-04,Domestic movements,39966,2023
2023-03-04,Transborder movements,7183,2023
2023-03-04,Other international movements,3730,2023
2023-03-11,Domestic movements,41833,2023
2023-03-11,Transborder movements,7458,2023
2023-03-11,Other international movements,3839,2023
2023-03-18,Domestic movements,42765,2023
2023-03-18,Transborder movements,7680,2023
2023-03-18,Other international movements,3801,2023
2023-03-25,Domestic movements,42347,2023
2023-03-25,Transborder movements,7723,2023
2023-03-25,Other international movements,3851,2023
2023-04-01,Domestic movements,39010,2023
2023-04-01,Transborder movements,7590,2023
2023-04-01,Other international movements,3786,2023
2023-04-08,Domestic movements,46971,2023
2023-04-08,Transborder movements,7684,2023
2023-04-08,Other international movements,3714,2023
2023-04-15,Domestic movements,41657,2023
2023-04-15,Transborder movements,7636,2023
2023-04-15,Other international movements,3585,2023
2023-04-22,Domestic movements,46150,2023
2023-04-22,Transborder movements,7665,2023
2023-04-22,Other international movements,3407,2023
2023-04-29,Domestic movements,44573,2023
2023-04-29,Transborder movements,7678,2023
2023-04-29,Other international movements,3185,2023
2023-05-06,Domestic movements,55430,2023
2023-05-06,Transborder movements,7676,2023
2023-05-06,Other international movements,3081,2023
2023-05-13,Domestic movements,53911,2023
2023-05-13,Transborder movements,7872,2023
2023-05-13,Other international movements,2983,2023
